mes y año,Importaciones totales
ene-16,"2,994.00"
feb-16,"1,522.00"
mar-16,"2,698.00"
abr-16,"2,586.00"
may-16,"1,376.00"
jun-16,"2,808.00"
jul-16,"2,416.00"
ago-16,"3,504.00"
sep-16,"2,847.00"
oct-16,"2,314.00"
nov-16,"1,158.00"
dic-16,"2,796.00"
ene-17,"2,157.00"
feb-17,"2,649.00"
mar-17,"2,181.00"
abr-17,"1,981.00"
may-17,"2,591.00"
jun-17,"1,958.00"
jul-17,"1,888.00"
ago-17,"3,774.00"
sep-17,"1,069.00"
oct-17,"3,106.00"
nov-17,"1,860.00"
dic-17,"1,372.00"
ene-18,"3,412.00"
feb-18,"2,070.00"
mar-18,"1,509.00"
abr-18,"3,706.00"
may-18,"1,450.00"
jun-18,"2,025.00"
jul-18,"3,414.00"
ago-18,812
sep-18,"2,115.00"
oct-18,"2,155.00"
nov-18,"1,525.00"
dic-18,"1,267.00"
ene-19,"4,262.00"
feb-19,"1,302.00"
mar-19,"2,116.00"
abr-19,"2,305.00"
may-19,"1,103.00"
jun-19,"2,843.00"
jul-19,"1,587.00"
ago-19,"3,930.00"
sep-19,"2,093.00"
oct-19,"1,634.00"
nov-19,632
dic-19,"4,680.00"
ene-20,"1,761.00"
feb-20,"2,387.00"
mar-20,"1,839.00"
abr-20,"1,445.00"
may-20,"4,037.00"
jun-20,"2,258.00"
jul-20,"2,156.00"
ago-20,"2,757.00"
sep-20,"2,176.00"
oct-20,"1,224.00"
nov-20,"3,148.00"
dic-20,"3,293.00"
ene-21,"2,895.00"
feb-21,"1,684.00"
mar-21,"2,885.00"
abr-21,"2,746.00"
may-21,"1,666.00"
jun-21,"3,787.00"
jul-21,"3,614.00"
ago-21,"2,473.00"
sep-21,"2,664.00"
oct-21,"3,081.00"
nov-21,"1,107.00"
dic-21,"3,756.00"
ene-22,"2,223.00"
feb-22,"2,166.00"
mar-22,"3,308.00"
abr-22,"2,076.00"
may-22,"2,543.00"
jun-22,"3,651.00"
jul-22,"2,545.00"
ago-22,"2,996.00"
sep-22,"3,033.00"
oct-22,"2,168.00"
nov-22,"3,473.00"
dic-22,"2,314.00"
ene-23,"3,141.00"
feb-23,"4,770.00"
mar-23,"3,343.00"
abr-23,"4,501.00"
may-23,"3,452.00"
jun-23,"2,901.00"
jul-23,"3,289.00"
ago-23,"4,929.00"
sep-23,"2,096.00"
oct-23,"3,137.00"
nov-23,"3,482.00"
dic-23,"2,935.00"
ene-24,"5,564.00"
feb-24,"2,167.00"
mar-24,"4,130.00"
abr-24,"3,425.00"
may-24,"2,331.00"
jun-24,"5,735.00"
jul-24,"4,942.00"
ago-24,"3,176.00"
sep-24,"3,875.00"
oct-24,"2,544.00"
nov-24,"4,052.00"
dic-24,"1,773.00"
ene-25,"5,909.00"
feb-25,"4,528.00"
mar-25,"2,590.00"
abr-25,"2,372.00"
may-25,"4,956.00"
jun-25,"4,348.00"
jul-25,"4,180.00"
ago-25,"3,297.00"
sep-25,"6,036.00"
oct-25,"4,285.00"
nov-25,"2,594.00"
dic-25,"6,091.00"
